x,f(x),H(x)
1,0,nan
1.0991,0.0410369,nan
1.1982,0.0785287,nan
1.2973,0.11304,nan
1.3964,0.145009,nan
1.4955,0.174785,nan
1.59459,0.20265,nan
1.69369,0.228835,nan
1.79279,0.25353,nan
1.89189,0.276896,nan
1.99099,0.299069,nan
2.09009,0.320165,nan
2.18919,0.340283,nan
2.28829,0.359511,nan
2.38739,0.377923,nan
2.48649,0.395586,nan
2.58559,0.412559,nan
2.68468,0.428893,nan
2.78378,0.444636,nan
2.88288,0.459827,nan
2.98198,0.474505,nan
3.08108,0.488703,nan
3.18018,0.502452,nan
3.27928,0.515778,nan
3.37838,0.528708,nan
3.47748,0.541264,nan
3.57658,0.553468,nan
3.67568,0.565337,nan
3.77477,0.576891,nan
3.87387,0.588145,nan
3.97297,0.599116,nan
4.07207,0.609815,nan
4.17117,0.620258,nan
4.27027,0.630455,nan
4.36937,0.640419,nan
4.46847,0.650159,nan
4.56757,0.659685,nan
4.66667,0.669007,nan
4.76577,0.678133,nan
4.86486,0.687071,nan
4.96396,0.695829,nan
5.06306,0.704413,nan
5.16216,0.712832,nan
5.26126,0.72109,nan
5.36036,0.729194,nan
5.45946,0.73715,nan
5.55856,0.744962,nan
5.65766,0.752637,nan
5.75676,0.760178,nan
5.85586,0.76759,nan
5.95495,0.774878,nan
6.05405,0.782046,nan
6.15315,0.789098,nan
6.25225,0.796036,nan
6.35135,0.802866,nan
6.45045,0.80959,nan
6.54955,0.816211,nan
6.64865,0.822733,nan
6.74775,0.829159,nan
6.84685,0.835491,nan
6.94595,0.841731,nan
7.04505,0.847884,nan
7.14414,0.85395,nan
7.24324,0.859933,nan
7.34234,0.865835,nan
7.44144,0.871657,nan
7.54054,0.877402,nan
7.63964,0.883073,nan
7.73874,0.88867,nan
7.83784,0.894196,nan
7.93694,0.899653,nan
8.03604,0.905042,nan
8.13514,0.910365,nan
8.23423,0.915623,nan
8.33333,0.920819,nan
8.43243,0.925953,nan
8.53153,0.931027,nan
8.63063,0.936043,nan
8.72973,0.941001,nan
8.82883,0.945903,nan
8.92793,0.950751,nan
9.02703,0.955545,nan
9.12613,0.960286,nan
9.22523,0.964977,nan
9.32432,0.969617,nan
9.42342,0.974209,nan
9.52252,0.978752,nan
9.62162,0.983248,nan
9.72072,0.987698,nan
9.81982,0.992104,nan
9.91892,0.996464,nan
10.018,1.00078,nan
10.1171,1.00506,nan
10.2162,1.00929,nan
10.3153,1.01348,nan
10.4144,1.01763,nan
10.5135,1.02175,nan
10.6126,1.02582,nan
10.7117,1.02986,nan
10.8108,1.03386,nan
10.9099,1.03782,nan
11.009,1.04175,nan
11.1081,1.04564,nan
11.2072,1.0495,nan
11.3063,1.05332,nan
11.4054,1.05711,nan
11.5045,1.06087,nan
11.6036,1.06459,nan
11.7027,1.06829,nan
11.8018,1.07195,nan
11.9009,1.07558,nan
12,1.07918,nan
12.0991,1.08275,nan
12.1982,1.0863,nan
12.2973,1.08981,nan
12.3964,1.0933,nan
12.4955,1.09675,nan
12.5946,1.10018,nan
12.6937,1.10359,nan
12.7928,1.10697,nan
12.8919,1.11032,nan
12.991,1.11364,nan
13.0901,1.11694,nan
13.1892,1.12022,nan
13.2883,1.12347,nan
13.3874,1.1267,nan
13.4865,1.1299,nan
13.5856,1.13308,nan
13.6847,1.13623,nan
13.7838,1.13937,nan
13.8829,1.14248,nan
13.982,1.14557,nan
14.0811,1.14864,nan
14.1802,1.15168,nan
14.2793,1.15471,nan
14.3784,1.15771,nan
14.4775,1.16069,nan
14.5766,1.16366,nan
14.6757,1.1666,nan
14.7748,1.16952,nan
14.8739,1.17242,nan
14.973,1.17531,nan
15.0721,1.17817,nan
15.1712,1.18102,nan
15.2703,1.18385,nan
15.3694,1.18666,nan
15.4685,1.18945,nan
15.5676,1.19222,nan
15.6667,1.19498,nan
15.7658,1.19772,nan
15.8649,1.20044,nan
15.964,1.20314,nan
16.0631,1.20583,nan
16.1622,1.2085,nan
16.2613,1.21115,nan
16.3604,1.21379,nan
16.4595,1.21642,nan
16.5586,1.21902,nan
16.6577,1.22161,nan
16.7568,1.22419,nan
16.8559,1.22675,nan
16.955,1.2293,nan
17.0541,1.23183,nan
17.1532,1.23434,nan
17.2523,1.23685,nan
17.3514,1.23933,nan
17.4505,1.24181,nan
17.5495,1.24427,nan
17.6486,1.24671,nan
17.7477,1.24914,nan
17.8468,1.25156,nan
17.9459,1.25397,nan
18.045,1.25636,nan
18.1441,1.25874,nan
18.2432,1.2611,nan
18.3423,1.26345,nan
18.4414,1.26579,nan
18.5405,1.26812,nan
18.6396,1.27044,nan
18.7387,1.27274,nan
18.8378,1.27503,nan
18.9369,1.27731,nan
19.036,1.27958,nan
19.1351,1.28183,nan
19.2342,1.28407,nan
19.3333,1.28631,nan
19.4324,1.28853,nan
19.5315,1.29074,nan
19.6306,1.29293,nan
19.7297,1.29512,nan
19.8288,1.2973,nan
19.9279,1.29946,nan
20.027,1.30162,nan
20.1261,1.30376,nan
20.2252,1.30589,nan
20.3243,1.30802,nan
20.4234,1.31013,nan
20.5225,1.31223,nan
20.6216,1.31432,nan
20.7207,1.3164,nan
20.8198,1.31848,nan
20.9189,1.32054,nan
21.018,1.32259,nan
21.1171,1.32463,nan
21.2162,1.32667,nan
21.3153,1.32869,nan
21.4144,1.33071,nan
21.5135,1.33271,nan
21.6126,1.33471,nan
21.7117,1.33669,nan
21.8108,1.33867,nan
21.9099,1.34064,nan
22.009,1.3426,nan
22.1081,1.34455,nan
22.2072,1.34649,nan
22.3063,1.34843,nan
22.4054,1.35035,nan
22.5045,1.35227,nan
22.6036,1.35418,nan
22.7027,1.35608,nan
22.8018,1.35797,nan
22.9009,1.35985,nan
23,1.36173,nan
23.0991,1.3636,nan
23.1982,1.36545,nan
23.2973,1.36731,nan
23.3964,1.36915,nan
23.4955,1.37098,nan
23.5946,1.37281,nan
23.6937,1.37463,nan
23.7928,1.37645,nan
23.8919,1.37825,nan
23.991,1.38005,nan
24.0901,1.38184,nan
24.1892,1.38362,nan
24.2883,1.3854,nan
24.3874,1.38717,nan
24.4865,1.38893,nan
24.5856,1.39068,nan
24.6847,1.39243,nan
24.7838,1.39417,nan
24.8829,1.3959,nan
24.982,1.39763,nan
25.0811,1.39935,nan
25.1802,1.40106,nan
25.2793,1.40276,nan
25.3784,1.40446,nan
25.4775,1.40616,nan
25.5766,1.40784,nan
25.6757,1.40952,nan
25.7748,1.41119,nan
25.8739,1.41286,nan
25.973,1.41452,nan
26.0721,1.41618,nan
26.1712,1.41782,nan
26.2703,1.41946,nan
26.3694,1.4211,nan
26.4685,1.42273,nan
26.5676,1.42435,nan
26.6667,1.42597,nan
26.7658,1.42758,nan
26.8649,1.42918,nan
26.964,1.43078,nan
27.0631,1.43238,nan
27.1622,1.43396,nan
27.2613,1.43555,nan
27.3604,1.43712,nan
27.4595,1.43869,nan
27.5586,1.44026,nan
27.6577,1.44182,nan
27.7568,1.44337,nan
27.8559,1.44492,nan
27.955,1.44646,nan
28.0541,1.448,nan
28.1532,1.44953,nan
28.2523,1.45105,nan
28.3514,1.45257,nan
28.4505,1.45409,nan
28.5495,1.4556,nan
28.6486,1.4571,nan
28.7477,1.4586,nan
28.8468,1.4601,nan
28.9459,1.46159,nan
29.045,1.46307,nan
29.1441,1.46455,nan
29.2432,1.46603,nan
29.3423,1.46749,nan
29.4414,1.46896,nan
29.5405,1.47042,nan
29.6396,1.47187,nan
29.7387,1.47332,nan
29.8378,1.47477,nan
29.9369,1.47621,nan
30.036,1.47764,nan
30.1351,1.47907,nan
30.2342,1.4805,nan
30.3333,1.48192,nan
30.4324,1.48334,nan
30.5315,1.48475,nan
30.6306,1.48616,nan
30.7297,1.48756,nan
30.8288,1.48896,nan
30.9279,1.49035,nan
31.027,1.49174,nan
31.1261,1.49313,nan
31.2252,1.49451,nan
31.3243,1.49588,nan
31.4234,1.49725,nan
31.5225,1.49862,nan
31.6216,1.49998,nan
31.7207,1.50134,nan
31.8198,1.5027,nan
31.9189,1.50405,nan
32.018,1.50539,nan
32.1171,1.50674,nan
32.2162,1.50807,nan
32.3153,1.50941,nan
32.4144,1.51074,nan
32.5135,1.51206,nan
32.6126,1.51339,nan
32.7117,1.5147,nan
32.8108,1.51602,nan
32.9099,1.51733,nan
33.009,1.51863,nan
33.1081,1.51993,nan
33.2072,1.52123,nan
33.3063,1.52253,nan
33.4054,1.52382,nan
33.5045,1.5251,nan
33.6036,1.52639,nan
33.7027,1.52766,nan
33.8018,1.52894,nan
33.9009,1.53021,nan
34,1.53148,nan
34.0991,1.53274,nan
34.1982,1.534,nan
34.2973,1.53526,nan
34.3964,1.53651,nan
34.4955,1.53776,nan
34.5946,1.53901,nan
34.6937,1.54025,nan
34.7928,1.54149,nan
34.8919,1.54272,nan
34.991,1.54396,nan
35.0901,1.54518,nan
35.1892,1.54641,nan
35.2883,1.54763,nan
35.3874,1.54885,nan
35.4865,1.55006,nan
35.5856,1.55127,nan
35.6847,1.55248,nan
35.7838,1.55369,nan
35.8829,1.55489,nan
35.982,1.55609,nan
36.0811,1.55728,nan
36.1802,1.55847,nan
36.2793,1.55966,nan
36.3784,1.56084,nan
36.4775,1.56202,nan
36.5766,1.5632,nan
