x,f(x),P(x)
1,0,0
3,0.477121,0.423595
5,0.69897,0.67816
7,0.845098,0.841408
9,0.954243,0.955635
11,1.04139,1.04298
13,1.11394,1.11463
15,1.17609,1.17612
17,1.23045,1.23026
19,1.27875,1.2786
21,1.32222,1.32217
23,1.36173,1.36175
25,1.39794,1.39798
27,1.43136,1.43139
29,1.4624,1.4624
31,1.49136,1.49135
33,1.51851,1.5185
35,1.54407,1.54406
37,1.5682,1.5682
39,1.59106,1.59107
41,1.61278,1.61279
43,1.63347,1.63347
45,1.65321,1.65321
47,1.6721,1.67209
49,1.6902,1.69019
51,1.70757,1.70757
53,1.72428,1.72428
55,1.74036,1.74037
57,1.75587,1.75588
59,1.77085,1.77085
61,1.78533,1.78533
63,1.79934,1.79934
65,1.81291,1.81291
67,1.82607,1.82608
69,1.83885,1.83886
71,1.85126,1.85126
73,1.86332,1.86332
75,1.87506,1.87505
77,1.88649,1.88648
79,1.89763,1.89763
81,1.90849,1.90851
83,1.91908,1.91912
85,1.92942,1.92944
87,1.93952,1.93947
89,1.94939,1.94922
91,1.95904,1.95882
93,1.96848,1.9685
95,1.97772,1.97848
97,1.98677,1.98864
99,1.99564,1.99745
